标题,播放数,封面链接,歌单链接
新歌抢鲜听 2014第15周,343万,http://hiphotos.qianqian.com/ting/pic/item/cf1b9d16fdfaaf5142d269118e5494eef01f7a6f.jpg,http://music.baidu.com/songlist/3939
前奏秒杀人的歌,1568万,http://hiphotos.qianqian.com/ting/pic/item/d788d43f8794a4c2a54c2aab0ff41bd5ac6e39c7.jpg,http://music.baidu.com/songlist/2098
夜店必打歌曲,219万,http://hiphotos.qianqian.com/ting/pic/item/eac4b74543a98226c8a6e9a78b82b9014b90ebcf.jpg,http://music.baidu.com/songlist/820
超好听但不是很出名的钢琴曲,1035万,http://hiphotos.qianqian.com/ting/pic/item/d50735fae6cd7b897286f8030e2442a7d8330e4c.jpg,http://music.baidu.com/songlist/1371
好声音第三季第四期经典版本,233万,http://hiphotos.qianqian.com/ting/pic/item/34fae6cd7b899e5100f6dc2a41a7d933c8950d97.jpg,http://music.baidu.com/songlist/4280
最柔软的情歌,597万,http://hiphotos.qianqian.com/ting/pic/item/a6efce1b9d16fdfa12273d7eb08f8c5495ee7bd3.jpg,http://music.baidu.com/songlist/5271
夏末初秋 离别的情绪,201万,http://hiphotos.qianqian.com/ting/pic/item/9358d109b3de9c8273e5cea66f81800a19d84312.jpg,http://music.baidu.com/songlist/4326
每人一首成名曲,2465万,http://hiphotos.qianqian.com/ting/pic/item/11385343fbf2b211e8f85725c88065380dd78e83.jpg,http://music.baidu.com/songlist/1892
手机铃声 也可以清新明媚,289万,http://hiphotos.qianqian.com/ting/pic/item/ac345982b2b7d0a27417c61dcaef76094a369a50.jpg,http://music.baidu.com/songlist/1785
这些情歌让你想起谁,267万,http://hiphotos.qianqian.com/ting/pic/item/2934349b033b5bb59dda15b934d3d539b600bc63.jpg,http://music.baidu.com/songlist/3142
一首歌证明爱过,243万,http://hiphotos.qianqian.com/ting/pic/item/d6ca7bcb0a46f21ff50c9d17f5246b600c33aebe.jpg,http://music.baidu.com/songlist/4796
